"year","early","election_day","mail","total","early_percent","election_day_percent","mail_percent"
2018,659669,1482029,162814,2304512,0.286251058792491,0.643098842618307,0.0706500985892024
2020,983985,437126,1502986,3037030,0.323995811697612,0.143932065208444,0.494886780835224
2022,378551,1037176,338748,1754475,0.215763120021659,0.59116031861383,0.193076561364511
